Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals,,,,,
January 2009,Naaha Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Loggu Health Centre,,,75,,,,,,,,,,4,3,,,2,,3,,1,2,,5,,9,2,,,,,
January 2009,Kulkpong CHPS,,,41,,,,,,,,,,,,,,,,,,,1,,9,,6,,,,,,
January 2009,Kundungu Health Centre,8,0,50,,,,,,,,,,,,,,,,1,,1,,,9,,3,,,,,,
January 2009,Samuel Seidu Memorial Clinic,,,63,,,,,,,,,,11,1,,,,,5,,,,,32,,37,4,,,,,
January 2009,Biitenge CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Bulenga Health Centre,4,0,131,,,,,,,,,,4,,,,2,,3,,,,,,,17,3,,,,,
February 2009,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Yaala Health Centre,1,0,15,1,,,,,,1,,,3,2,,,2,,1,,8,,,11,,3,2,,,,,
February 2009,Jeyiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Kataa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Ducie CHPS,,,39,,,,,,,,,,,,,,1,,2,,,,,,,8,,,,,,
February 2009,Holomuni Health Centre,,,20,,,,,,,,,,1,,,,3,,4,,,,,1,,9,,,,,,
February 2009,Goh CHPS,,,10,,,,,,,,,15,,,,,,,2,,,,,,,5,5,,,,,
February 2009,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Funsi Health Centre,10,0,71,,,4,,2,,,,,7,15,,,10,,13,,6,,,22,,50,18,,,,,
February 2009,Buffiamah CHPS,,,22,,,1,,,,,,,,,,,,,2,,,,,12,,8,2,,,,,
February 2009,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Katua CHPS,,,14,,,,,2,,,,,1,,,,,,2,,,,,17,,6,2,,,,,
February 2009,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Naaha Health Center,,,,,,,,,,,,,3,2,,,1,,1,,,,,4,,12,3,,,,,
February 2009,Loggu Health Centre,1,0,57,,,,,,,,,,17,1,,,3,,7,,1,,,10,,11,8,,,,,
February 2009,Kulkpong CHPS,,,27,,,,,,,,,,,,,,2,,1,,,,,1,,13,,,,,,
February 2009,Kundungu Health Centre,4,0,28,,,,,,,,,,,1,,,,,,,7,,,8,,13,2,,,,,
February 2009,Samuel Seidu Memorial Clinic,,,62,,,,,,,,,,11,,,,2,,11,,,,,21,,16,,,,,,
February 2009,Biitenge CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Bulenga Health Centre,8,0,170,,,,,,,,,,4,,,,2,,9,,,,,1,,29,,,,,,
March 2009,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Yaala Health Centre,1,0,26,,,,,,,,,,2,,,,6,,5,,6,1,,14,,2,4,,,,,
March 2009,Jeyiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Kataa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Ducie CHPS,,,42,,,,,,,,,,,,,,,,8,,,2,,3,,16,,,,,,
March 2009,Holomuni Health Centre,,,,,,,,,,,,,,,,,,,7,,,,,,,9,,,,,,
March 2009,Goh CHPS,,,5,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,,,
March 2009,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Funsi Health Centre,9,0,48,,,,,,,,,,,9,,,3,,4,,9,1,,18,,36,10,,,,,
March 2009,Buffiamah CHPS,,,21,,,,,,,,,,,,,,,,4,,,,,5,,8,3,,,,,
March 2009,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Katua CHPS,,,8,,,,,,,,,,,,,,3,,1,,,,,10,,2,3,,,,,
March 2009,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Naaha Health Center,,,,,,,,,,,,,,,,,1,,4,,,,,6,,14,,,,,,
March 2009,Loggu Health Centre,,,,,,,,,,,,,3,3,,,5,,7,,1,1,,6,,11,5,,,,,
March 2009,Kulkpong CHPS,,,38,,,,,,,,,,,,,,2,,,,,,,18,,10,,,,,,
March 2009,Kundungu Health Centre,4,0,37,,,,,,,,,,,4,,,,,,,6,,,6,,8,2,,,,,
March 2009,Samuel Seidu Memorial Clinic,,,59,,,,,,,,,,4,2,,,1,,4,,1,,,16,,16,3,,,,,
March 2009,Biitenge CHPS,,,19,,,,,,,,,,,,,,1,,,,,,,3,,1,,,,,,
April 2009,Bulenga Health Centre,9,0,132,,,,,,,,,,7,,,,4,,9,,,,,,,23,1,,,,,
April 2009,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Yaala Health Centre,,,18,,,,,,,,,,2,,,,7,,3,,,1,,4,,1,,,,,,
April 2009,Jeyiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Kataa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Ducie CHPS,,,32,,,,,,,,,,,,,,2,,3,,,,,2,,7,1,,,,,
April 2009,Holomuni Health Centre,2,0,20,,,,,,,,,,,,,,5,,9,,,,,1,,8,,,,,,
April 2009,Goh CHPS,,,10,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,
April 2009,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Funsi Health Centre,9,0,65,,,,,,,,,,5,5,,,3,,5,,7,2,,16,,22,6,,,,,
April 2009,Buffiamah CHPS,,,19,,,,,,,,,,,,,,,,2,,,,,,,3,5,,,,,
April 2009,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Katua CHPS,,,,,,,,,,,,,,,,,2,,1,,,,,9,,3,3,,,,,
April 2009,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Naaha Health Center,,,34,,,,,,,,,,,2,,,3,,2,,,,,2,,13,2,,,,,
April 2009,Loggu Health Centre,2,0,47,,,,,,,,,,8,2,,,3,,7,,3,1,,9,,7,6,,,,,
April 2009,Kulkpong CHPS,,,52,,,,,,,,,,1,,,,,,2,,,,,17,,6,,,,,,
April 2009,Kundungu Health Centre,1,0,38,,,,,,,,,,,3,,,,,1,,2,,,7,,2,4,,,,,
April 2009,Samuel Seidu Memorial Clinic,,,,,,,,,,,,,8,,,,2,,1,,2,3,,23,,7,3,,,,,
April 2009,Biitenge CHPS,,,6,,,,,,,,,,,,,,,,1,,,,,2,,1,,,,,,
May 2009,Bulenga Health Centre,10,0,175,,,,,,,,,,9,,,,3,,2,,,,,2,,17,7,,,,,
May 2009,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Yaala Health Centre,4,0,19,,,,,,,,,,,2,,,2,,3,,1,,,4,,3,,,,,,
May 2009,Jeyiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Kataa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Ducie CHPS,,,42,,,,,,,,,,,,,,3,,5,,,,,5,,11,,,,,,
May 2009,Holomuni Health Centre,,,25,,,,,,,,,,,,,,,,8,,,,,,,12,,,,,,
May 2009,Goh CHPS,,,14,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
May 2009,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Funsi Health Centre,17,0,25,,,,,,,,,,10,7,,,6,,12,,9,4,,29,,26,15,,,,,
May 2009,Buffiamah CHPS,,,13,,,,,,,,,,,,,,,,1,,,,,4,,7,1,,,,,
May 2009,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Katua CHPS,,,18,,,,,,,,,,1,,,,,,,,,,,4,,,5,,,,,
May 2009,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Naaha Health Center,,,30,,,,,,,,,,,,,,2,,2,,,1,,1,,7,4,,,,,
May 2009,Loggu Health Centre,4,0,49,,,,,,,,,,2,,,,,,1,,1,,,5,,9,1,,,,,
May 2009,Kulkpong CHPS,,,41,,,,,,,,,,,,,,2,,4,,,,,13,,21,1,,,,,
May 2009,Kundungu Health Centre,6,0,26,,,,,,,,,,,1,,,,,,,10,,,3,,5,3,,,,,
May 2009,Samuel Seidu Memorial Clinic,,,41,,,,,,,,,,2,1,,,1,,4,,3,,,6,,11,4,,,,,
May 2009,Biitenge CHPS,2,0,15,2,,,,,,,,,,,,,,,2,,,,,2,,1,,,,,,
June 2009,Bulenga Health Centre,9,0,189,,,,,,,,,,,1,,,,,5,,,,,,,18,23,,,,,
June 2009,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Yaala Health Centre,,,47,,,,,,,,,,1,,,,5,,2,,6,,,14,,,3,,,,,
June 2009,Jeyiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Kataa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Ducie CHPS,,,45,,,,,,,,,,,,,,1,,1,,1,,,1,,6,,,,,,
June 2009,Holomuni Health Centre,,,36,,,,,,,,,,,,,,,,3,,,,,1,,4,,,,,,
June 2009,Goh CHPS,,,11,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,
June 2009,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Funsi Health Centre,16,0,74,,,,,,,,,,7,10,,,6,,9,,14,2,,46,,31,14,,,,,
June 2009,Buffiamah CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Katua CHPS,,,11,,,,,,,,,,1,,,,,,2,,1,,,5,,,,,,,,
June 2009,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Naaha Health Center,4,4,35,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,,,
June 2009,Loggu Health Centre,,,60,,,,,,,,,,1,2,,,1,,4,,1,2,,2,,4,2,,,,,
June 2009,Kulkpong CHPS,,,45,,,,,,,,,,,,,,,,2,,,1,,7,,9,,,,,,
June 2009,Kundungu Health Centre,6,0,19,,,,,,,,,,,4,,,,,,,,,,8,,6,3,,,,,
June 2009,Samuel Seidu Memorial Clinic,,,33,,,,,,,,,,,,,,2,,7,,4,1,,7,,10,7,,,,,
June 2009,Biitenge CHPS,,,20,,,,,,,,,,,,,,,,2,,,,,,,4,2,,,,,
July 2009,Bulenga Health Centre,10,0,177,,,,,,,,,,10,,,,2,,8,,,,,,,25,14,,,,,
July 2009,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Yaala Health Centre,2,0,26,,,,,,,,,,2,4,,,,,1,,5,,,21,,3,1,,,,,
July 2009,Jeyiri CHPS,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Kataa CHPS,,,,,,,,,,,,,,,,,2,,,,,,,2,,2,,,,,,
July 2009,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Ducie CHPS,,,,,,,,,,,,,16,10,,,5,,7,,10,,,48,,43,10,,,,,
July 2009,Holomuni Health Centre,,,30,,,,,,,,,,,,,,,,4,,,,,,,3,,,,,,
July 2009,Goh CHPS,1,0,9,,,,,,,,,,1,,,,,,,,,,,3,,4,1,,,,,
July 2009,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Funsi Health Centre,3,0,64,,,,,,,,,,16,10,,,5,,7,,10,,,48,,43,10,,,,,
July 2009,Buffiamah CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Katua CHPS,,,15,,,,,,,,,,,,,,3,,2,,1,,,8,,2,1,,,,,
July 2009,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Naaha Health Center,1,0,24,,,,,,,,,,,,,,,,,,,,,,,9,3,,,,,
July 2009,Loggu Health Centre,4,0,67,,,,,,,,,,1,1,,,1,,5,,1,,,7,,4,2,,,,,
July 2009,Kulkpong CHPS,,,33,,,,,,,,,,2,,,,,,,,,,,6,,10,,,,,,
July 2009,Kundungu Health Centre,3,0,20,,,,,,,,,,1,4,,,,,1,,3,,,6,,10,2,,,,,
July 2009,Samuel Seidu Memorial Clinic,,,48,,,,,,,,,,7,,,,,,7,,,,,15,,15,5,,,,,
July 2009,Biitenge CHPS,1,0,21,1,,,,,,,,,,,,,,,2,,,,,3,,5,2,,,,,
August 2009,Bulenga Health Centre,6,0,166,,,,,,,,,,12,,,,2,,2,,,,,,,18,18,,,,,
August 2009,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2009,Yaala Health Centre,,,25,,,,,,,,,58,,,,,,,,,,,,12,,,,,,,,
August 2009,Jeyiri CHPS,,,1,,,,,,,,,,,,,,,,,,,,,3,,3,1,,,,,
August 2009,Kataa CHPS,,,4,,,,,,,,,,,,,,,,,,,,,1,,10,,,,,,
August 2009,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2009,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2009,Ducie CHPS,,,42,,,,,,,,,,,,,,2,,2,,,,,2,,18,,,,,,
August 2009,Holomuni Health Centre,1,0,28,,,,,,,,,,1,,,,,,3,,1,,,,,18,,,,,,
August 2009,Goh CHPS,,,8,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
August 2009,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2009,Funsi Health Centre,19,0,86,,,,,,,,,,5,12,,,2,,10,,8,,,14,,29,5,,,,,
August 2009,Buffiamah CHPS,,,15,,,,,,,1,,,,,,,,,4,,,,,4,,20,2,,,,,
August 2009,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2009,Katua CHPS,,,,,,,,,,,,,,,,,,,,,,,,5,,2,1,,,,,
August 2009,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2009,Naaha Health Center,,,25,,,,,,,,,,,,,,,,1,,,,,,,10,1,,,,,
August 2009,Loggu Health Centre,4,0,79,,,,,2,,,,,12,,,,,,3,,4,,,2,,11,3,,,,,
August 2009,Kulkpong CHPS,,,33,,,,,,,,,,,,,,,,,,,,,11,,47,1,,,,,
August 2009,Kundungu Health Centre,1,0,30,,,,,,,,,,,4,,,1,,,,5,,,7,,31,6,,,,,
August 2009,Samuel Seidu Memorial Clinic,,,38,,,,,,,,,,9,,,,,,3,,2,,,9,,20,8,,,,,
August 2009,Biitenge CHPS,,,18,,,,,,,,,,,,,,,,1,,,,,4,,6,,,,,,
September 2009,Bulenga Health Centre,4,0,152,,,,,,,,,,13,,,,7,,10,,,,,,,27,14,,,,,
September 2009,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2009,Yaala Health Centre,2,0,32,,,,,,,,,,9,1,,,2,,5,,,,,6,,4,,,,,,
September 2009,Jeyiri CHPS,,,11,,,,,,,,,,,,,,,,,,1,,,1,,8,2,,,,,
September 2009,Kataa CHPS,,,18,,,,,,,,,,7,,,,,,,,,,,,,18,2,,,,,
September 2009,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2009,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2009,Ducie CHPS,,,39,,,,,,,,,,,,,,2,,2,,,,,2,,11,1,,,,,
September 2009,Holomuni Health Centre,1,0,42,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,
September 2009,Goh CHPS,,,10,,,,,,,,,,,,,,1,,,,,,,1,,8,,,,,,
September 2009,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2009,Funsi Health Centre,15,0,84,,,,,,,,,,11,10,,,3,,8,,6,,,33,,85,11,,,,,
September 2009,Buffiamah CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2009,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2009,Katua CHPS,,,13,,,,,,,,,,,,,,,,,,,,,3,,,2,,,,,
September 2009,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2009,Naaha Health Center,,,18,,,,,,,,,,1,,,,,,,,,,,1,,29,1,,,,,
September 2009,Loggu Health Centre,4,0,88,,,,,,,,,55,13,,,,4,,6,,,,,,,10,4,,,,,
September 2009,Kulkpong CHPS,,,45,,,,,,,,,,9,,,,,,,,,,,11,,28,,,,,,
September 2009,Kundungu Health Centre,7,0,31,,,,,,,,,,,,,,2,,,,4,,,3,,32,4,,,,,
September 2009,Samuel Seidu Memorial Clinic,,,37,,,,,1,,,,,25,,,,,,6,,1,,,11,,43,4,,,,,
September 2009,Biitenge CHPS,,,20,,,,,,,,,,,,,,,,1,,,,,,,12,,,,,,
October 2009,Bulenga Health Centre,14,0,150,,,,,,,,,,7,,,,4,,2,,,,,,,22,11,,,,,
October 2009,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2009,Yaala Health Centre,1,0,35,,,1,,1,,,,,13,2,,,,,4,,5,1,,11,,15,5,,,,,
October 2009,Jeyiri CHPS,,,13,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
October 2009,Kataa CHPS,1,0,16,,,,,,,,,,7,,,,,,1,,,,,2,,12,2,,,,,
October 2009,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2009,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2009,Ducie CHPS,,,36,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
October 2009,Holomuni Health Centre,4,0,35,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,
October 2009,Goh CHPS,,,5,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,
October 2009,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2009,Funsi Health Centre,6,6,54,,,2,,,,,,,7,3,,,4,,11,,8,1,,15,,98,12,,,,,
October 2009,Buffiamah CHPS,,,14,,,,,,,,,,,,,,,,,,,,,,,13,24,,,,,
October 2009,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2009,Katua CHPS,1,0,12,1,,,,,,,,,,,,,,,,,,,,6,,4,,,,,,
October 2009,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2009,Naaha Health Center,,,21,,,,,,,,,,2,,,,,,,,,,,3,,20,,,,,,
October 2009,Loggu Health Centre,6,0,66,,,,,,,,,,4,,,,2,,1,,,,,3,,25,1,,,,,
October 2009,Kulkpong CHPS,,,33,,,,,,,,,,,1,,,1,,,,,,,3,,33,,,,,,
October 2009,Kundungu Health Centre,6,0,16,,,,,,,,,,,1,,,,,,,7,,,,,13,4,,,,,
October 2009,Samuel Seidu Memorial Clinic,,,39,,,,,,,,,,38,,,,,,3,,1,1,,10,,45,9,,,,,
October 2009,Biitenge CHPS,,,3,,,,,,,,,,2,1,,,,,,,,,,6,,26,,,,,,
November 2009,Bulenga Health Centre,6,0,88,,,,,,,,,,7,,,,,,3,,,,,1,,10,6,,,,,
November 2009,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2009,Yaala Health Centre,1,0,22,,,,,1,,,,,7,,,,,,1,,16,,,6,,6,3,,,,,
November 2009,Jeyiri CHPS,,,2,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
November 2009,Kataa CHPS,,,13,,,,,1,,,,,,,,,2,,,,,,,1,,2,8,,,,,
November 2009,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2009,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2009,Ducie CHPS,,,33,,,,,,,,,,,,,,2,,2,,,,,,,9,,,,,,
November 2009,Holomuni Health Centre,1,0,23,,,,,,,,,,,,,,,,4,,,,,,,26,,,,,,
November 2009,Goh CHPS,,,7,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
November 2009,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2009,Funsi Health Centre,6,0,85,,,1,,,,,,,6,6,,,3,,,,,,,13,,25,9,,,,,
November 2009,Buffiamah CHPS,,,8,,,,,,,,,,,,,,,,1,,,,,4,,7,,,,,,
November 2009,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2009,Katua CHPS,4,0,12,,,,,,,,,,,,,,,,3,,,,,4,,9,,,,,,
November 2009,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2009,Naaha Health Center,3,0,13,,,,,,,,,,5,,,,1,,3,,,,,5,,10,1,,,,,
November 2009,Loggu Health Centre,1,1,62,,,,,,,,,,4,,,,,,5,,,,,2,,18,,,,,,
November 2009,Kulkpong CHPS,1,0,32,,,,,1,,,,,,,,,1,,3,,,,,,,13,,,,,,
November 2009,Kundungu Health Centre,10,0,24,,,,,,,,,,,,,,,,,,2,,,2,,10,1,,,,,
November 2009,Samuel Seidu Memorial Clinic,,,42,,,,,,,,,,11,,,,,,9,,2,,,27,,33,4,,,,,
November 2009,Biitenge CHPS,,,16,,,,,1,,,,,1,,,,,,1,,,,,6,,12,1,,,,,
December 2009,Bulenga Health Centre,9,0,142,,,1,,,,,,,2,,,,4,,2,,,,,1,,12,8,,,,,
December 2009,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2009,Yaala Health Centre,3,0,18,,,1,,2,,,,,3,2,,,2,,4,,2,,,6,,4,3,,,,,
December 2009,Jeyiri CHPS,,,30,,,,,,,,,,,,,,1,,,,1,,,9,,8,,,,,,
December 2009,Kataa CHPS,,,22,,,,,,,,,,,,,,,,,,,,,4,,12,2,,,,,
December 2009,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2009,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2009,Ducie CHPS,,,36,,,,,,,,,,2,,,,,,1,,,,,2,,1,1,,,,,
December 2009,Holomuni Health Centre,1,0,22,,,,,,,,,,,,,,,,3,,,,,,,20,,,,,,
December 2009,Goh CHPS,,,9,,,,,,,,,,,,,,,,1,,,,,1,,6,,,,,,
December 2009,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2009,Funsi Health Centre,7,0,77,,,,,,,,,,15,6,,,7,,1,,8,,,10,,29,6,,,,,
December 2009,Buffiamah CHPS,,,18,,,,,,,,,,,,,,,,,,,,,4,,3,1,,,,,
December 2009,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2009,Katua CHPS,,,14,,,,,,,,,,2,,,,,,2,,,,,4,,3,,,,,,
December 2009,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2009,Naaha Health Center,2,0,13,,,,,,,,,,1,,,,1,,2,,,,,8,,18,4,,,,,
December 2009,Loggu Health Centre,4,0,54,,,,,,,,,,10,1,,,1,,4,,,,,,1,11,,,,,,
December 2009,Kulkpong CHPS,,,28,,,,,,,,,,,,,,,,1,,,,,11,,12,,,,,,
December 2009,Kundungu Health Centre,1,0,28,,,,,,,,,,,,,,,,,,1,,,1,,4,,,,,,
December 2009,Samuel Seidu Memorial Clinic,,,28,,,,,,,,,,9,,,,,,5,,1,,,22,,26,10,,,,,
December 2009,Biitenge CHPS,,,2,,,,,,,,,,2,,,,,,2,,,,,2,,17,,,,,,
January 2010,Bulenga Health Centre,10,0,162,,,,,,,,,,6,,,,,,5,,,,,1,,8,10,,,,,
January 2010,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2010,Yaala Health Centre,,,,,,1,,,,,,,6,2,,,2,,2,,,,,9,,8,4,,,,,
January 2010,Jeyiri CHPS,,,11,,,,,,,,,,,,,,1,,,,,,,16,,9,,,,,,
January 2010,Kataa CHPS,,,23,,,,,,,,,,,,,,,,4,,,,,3,,9,1,,,,,
January 2010,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2010,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2010,Ducie CHPS,1,0,38,,,,,,,,,,,,,,,,3,,,,,,,4,3,,,,,
January 2010,Holomuni Health Centre,3,0,40,,,,,,,,,,,,,,,,4,,1,,,7,,20,,,,,,
January 2010,Goh CHPS,,,7,,,,,,,,,,,,,,,,1,,,,,1,,9,2,,,,,
January 2010,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2010,Funsi Health Centre,9,0,116,,,,,1,,,,,7,5,,,2,,2,,3,,2,21,,26,29,,,,,
January 2010,Buffiamah CHPS,,,14,,,,,,,,,,,1,,,,,4,,,,,2,,3,1,,,,,
January 2010,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2010,Katua CHPS,,,19,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,
January 2010,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2010,Naaha Health Center,1,0,8,,,,,,,,,,3,,,,2,,,,,,,5,,14,,,,,,
January 2010,Loggu Health Centre,2,0,31,,,,,,,,,,4,2,,,4,,2,,,,,5,,4,,,,,,
